Country Name,Country Code,Series Name,Series Code,2023 [YR2023],2022 [YR2022],2021 [YR2021],2020 [YR2020],2019 [YR2019],2018 [YR2018],2017 [YR2017],2016 [YR2016],2015 [YR2015],2014 [YR2014],2013 [YR2013],2012 [YR2012],2011 [YR2011],2010 [YR2010],2009 [YR2009],2008 [YR2008],2007 [YR2007],2006 [YR2006],2005 [YR2005],2004 [YR2004],2003 [YR2003],2002 [YR2002],2001 [YR2001],2000 [YR2000],1999 [YR1999],1998 [YR1998],1997 [YR1997],1996 [YR1996],1995 [YR1995],1994 [YR1994],1993 [YR1993],1992 [YR1992],1991 [YR1991],1990 [YR1990],1989 [YR1989],1988 [YR1988],1987 [YR1987],1986 [YR1986],1985 [YR1985],1984 [YR1984],1983 [YR1983],1982 [YR1982],1981 [YR1981],1980 [YR1980],1979 [YR1979],1978 [YR1978],1977 [YR1977],1976 [YR1976],1975 [YR1975],1974 [YR1974],1973 [YR1973],1972 [YR1972],1971 [YR1971],1970 [YR1970],1969 [YR1969],1968 [YR1968],1967 [YR1967],1966 [YR1966],1965 [YR1965],1964 [YR1964],1963 [YR1963],1962 [YR1962],1961 [YR1961],1960 [YR1960]
Peru,PER,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,..,23.7628994753733,23.6854713139298,23.6302120860875,23.5798124631156,23.5843408175014,23.5604069314642,23.483610742367,23.3139194723685,23.139109632359,22.9798551380715,22.8168279538738,22.6588826485368,22.4717753422193,22.187948892417,21.8160395172133,21.4516881670254,21.3406885829185,21.4139208192536,21.5115354017502,21.6169789892107,21.7047770611721,21.736869474779,21.6965127238454,21.5641387387867,21.317706264071,20.9138886678866,20.288497564631,19.3612883043401,18.0455980357769,16.3608810157871,14.3079291279216,11.9666444524188,9.38408067916358,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Philippines,PHL,Young people (ages 15-24) newly infected with HIV,SH.HIV.INCD.YG,..,11000,10000,8800,7800,7000,6200,5500,4900,4300,3600,3000,2600,2300,1700,1200,1000,1000,1000,500,500,500,200,200,100,100,100,100,100,100,100,100,100,100,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Philippines,PHL,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,..,6.63243762583456,6.52914874469427,6.46914922533297,6.39816564811528,6.28947072704798,6.20906784276738,6.16703101733042,6.12864425224812,6.10342894515556,6.16245686280196,6.27634830643989,6.37054085155351,6.46360474877084,6.61022468251384,7.00566226268458,7.69344141488578,8.3220437391136,9.03094875697616,10.0499168053245,11.1842105263158,12.2106481481482,13.4600760456274,15.3617443012884,17.3076923076923,18.9542483660131,20.8677685950413,22.7513227513228,24.2214532871972,25.7009345794392,26.6666666666667,28.0373831775701,29.1139240506329,30.5084745762712,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poland,POL,Young people (ages 15-24) newly infected with HIV,SH.HIV.INCD.YG,..,..,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,500,500,500,500,500,200,200,200,100,100,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poland,POL,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,..,24.1308706223606,18.9608470819995,19.0928927680798,19.363148087252,19.746879334258,20.1194976222412,20.4197244753444,20.6915291080769,21.0356682423722,21.4328853993659,21.7788729035848,22.0532954640381,22.3147012440862,22.5264124942582,22.7167630057804,22.8093173338711,22.8035017403228,22.6696083838941,22.4791859389454,22.1641337386018,21.7815428058016,21.3056541928435,20.8161461402475,20.4444444444444,19.9777818922422,19.4695989650712,18.8679245283019,18.375499334221,17.8698752228164,17.3521850899743,16.8527918781726,16.3375224416517,15.9010600706714,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Portugal,PRT,Young people (ages 15-24) newly infected with HIV,SH.HIV.INCD.YG,..,200,200,200,200,200,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Portugal,PRT,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,..,30.3390721513997,30.3152806767,30.287558296311,30.2273183572401,30.1945630804691,30.1024140453548,30.0379524206239,29.9716806703021,29.8816778507576,29.739001103488,29.5912422933152,29.47008462901,29.3434267725978,29.244009879561,29.1529124320952,29.0511840288839,28.9714798401349,28.8942133563648,28.8081835585907,28.7184750733138,28.6132135210928,28.4754409431673,28.4157234529683,28.3818650939919,28.3439824028491,28.3055433669738,28.2765777538627,28.2491637431672,28.2300884955752,28.2186774655538,28.2041003321498,28.1821341675356,28.1541330018645,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Puerto Rico,PRI,Young people (ages 15-24) newly infected with HIV,SH.HIV.INCD.YG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Puerto Rico,PRI,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Qatar,QAT,Young people (ages 15-24) newly infected with HIV,SH.HIV.INCD.YG,..,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
