Country Name,Country Code,Series Name,Series Code,1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Viet Nam,VNM,GDP (constant 2015 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,34363462779.8136,35671286575.7778,36666262766.8568,37980187158.0424,39930474201.495,42871159122.6828,45057981854.8071,47743817832.1663,51871770980.839,56059239339.3434,61014304826.6384,66835362482.4846,73077797034.1306,79035160538.4626,83591107164.2471,87581401291.5701,93525828108.839,99317782863.096,105595482130.707,112880581486.059,121387725604.567,130549157968.493,139658819217.11,149615800998.365,158086705343.275,166620063722.291,177322478338.404,188694468366.268,199081239731.688,210137237901.389,223632762207.56,239258328381.741,255264731908.124,272980590259.187,293358610036.841,314947640805.601,323972192107.065,332245562394.77,359235578724.112,377364153384.169
Viet Nam,VNM,GDP (constant LCU),NY.GDP.MKTP.KN,..,..,..,..,..,..,..,..,..,..,530956366485830,551163799454919,566537364876432,586839059296787,616973313485056,662410392708944,696199404585810,737698764550000,801480549840000,866181915900000,942743570460000,1.0326858339E+15,1.1291388715E+15,1.2211872224E+15,1.2915820159E+15,1.3532368056E+15,1.4450852693E+15,1.5345778583E+15,1.6315757777E+15,1.7441392265E+15,1.8755847202E+15,2.0171397454E+15,2.1578948453E+15,2.3117420551E+15,2.4426276012E+15,2.5744781364E+15,2.73984317E+15,2.91555394E+15,3.07604191E+15,3.24687023E+15,3.45539213E+15,3.69682571E+15,3.94414368E+15,4.21787476E+15,4.5327394E+15,4.8663156E+15,5.00575565E+15,5.13358906E+15,5.55061691E+15,5.8307249477943E+15
Viet Nam,VNM,GDP (current LCU),NY.GDP.MKTP.CN,..,..,..,..,..,..,..,..,..,..,..,117000003600,599000000000,2870000000000,15420000000000,28093000000000,41955000000000,76707000000000,110532000000000,140258000000000,178534000000000,228892000000000,272036000000000,313623000000000,361017000000000,399942000000000,441646000000000,481295000000000,535762000000000,613443000000000,715307000000000,914001000000000,1.061565E+15,1.246769E+15,1.616047E+15,1.809149E+15,2.73984317E+15,3.53988131E+15,4.07376229E+15,4.4736556E+15,4.93703168E+15,5.19132373E+15,5.639401E+15,6.29390455E+15,7.00904213E+15,7.70720029E+15,8.04438573E+15,8.4874756E+15,9.54873767E+15,1.02218146941153E+16
Viet Nam,VNM,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,..,14094687820.7445,26336616250.4397,36658108850.3148,25423812648.5941,6293304974.59403,6471740805.56984,9613369520.41885,9866990236.43587,13180953598.1716,16286433533.3228,20736164458.9505,24657470574.7501,26843700441.5482,27209602050.0452,28683659006.7752,31172518403.3162,32685198808.5549,35064105500.8344,39552513231.9169,45427854693.2554,57633255738.1992,66371664817.0436,77414425532.2452,99130304099.1274,106014659565.214,147201173196.979,172595049183.925,195590661129.249,213708811665.34,233451469642.519,239258328381.741,257096001177.982,281353605986.903,310106478394.659,334365270496.667,346615738537.796,366474752771.009,410324028883.325,429716969043.572
Viet Nam,VNM,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,..,..,..,..,..,..,..,..,..,..,..,0.0212278099025569,0.105730007786979,0.489060834403071,2.49929772697916,4.24102645568602,6.02629070402039,10.3981467349741,13.7909772136162,16.1926723965676,18.9377053945737,22.164727401709,24.09234212605,25.6818114575123,27.9515350597721,29.5544725317069,30.5619335676941,31.3633483890597,32.8370895990656,35.1716761299503,38.1378133600771,45.311734206038,49.1944731371939,53.9320118890197,66.1601874639457,70.2724553928358,100,121.413679281818,132.43520111857,137.783628020144,142.879056681767,140.426520946263,142.981631947039,149.219806374716,154.631482454076,158.37855419817,160.702724872318,165.332197431479,172.030205377658,175.309499001185
Viet Nam,VNM,GDP deflator: linked series (base year varies by country),NY.GDP.DEFL.ZS.AD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.65171756093367,13.2027620108147,17.510715581222,20.5602022571866,24.0456327197716,28.1430555249879,30.5905915237267,32.6087766716821,35.4906960477737,37.5259819982007,38.8051780542219,39.8227525728465,41.6939951083834,44.6582724114966,48.4244439167575,57.5333334167556,62.4633348261177,68.4786948947525,84.0050859004866,89.2265254679075,100,121.413679281818,132.43520111857,137.783628020144,142.879056681767,140.426520946263,142.981631947039,149.219806374716,154.631482454076,158.37855419817,160.702724872318,165.332197431479,172.030205377658,175.309499001185
Viet Nam,VNM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,3.80585566810947,2.78929157479443,3.5834696313072,5.13501167157808,7.36451289395819,5.10091813908369,5.96084393218912,8.64604745934572,8.07273065739605,8.83898095245374,9.54048017491264,9.34001749939179,8.1520841433542,5.76445545848843,4.77358688344989,6.78731640463151,6.19289331233377,6.32082099160833,6.89906349055258,7.53641060890386,7.54724772895918,6.97795481056711,7.12950448605439,5.66177120891362,5.39789754014181,6.42324482239482,6.41316889681683,5.5045447041189,5.55351081026072,6.42224312118567,6.98715430598611,6.69000892660424,6.94019037359206,7.46500685572751,7.35926270105006,2.86541320912272,2.55372852648131,8.12351446767343,5.0464307361882
Viet Nam,VNM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,595.491333343053,603.977495797078,607.58999788783,616.715148033271,635.398203948006,668.323172497837,687.860316254161,713.747210806804,759.910853953724,805.606443630458,861.122422555836,927.625512005765,998.924907248853,1064.77802859908,1110.1126773248,1148.04465210832,1212.19657794381,1273.8052690094,1340.51670460271,1418.74337471509,1510.94449049599,1609.96268313651,1699.67620343393,1788.9485028957,1856.00519883979,1927.13427057454,2027.58184375924,2132.90453762087,2224.11404253256,2320.08431444934,2439.28655744423,2577.56885340113,2715.57887431272,2868.13680013379,3048.28327602145,3241.07648966529,3303.16949807493,3358.21734764714,3603.86454848348,3760.39771392507
Viet Nam,VNM,GDP per capita (constant LCU),NY.GDP.PCAP.KN,..,..,..,..,..,..,..,..,..,..,9201049.28457228,9332170.58660369,9387988.0400518,9528982.46182782,9817657.89442032,10326387.8143325,10628259.9197963,11028243.2264654,11741526.4129153,12447577.6166211,13305365.5130562,14332917.3334495,15434577.7823245,16452086.8226068,17152561.0593726,17738655.1801468,18729878.7265901,19681806.2713121,20712577.2873951,21921272.3712199,23345889.2596471,24875838.0927224,26262018.6725723,27641381.8657922,28677487.5648934,29776516.3130084,31328550.7753734,32955911.6499044,34365206.9711353,35848061.8043078,37689878.2191166,39826504.1430243,41958923.0936808,44316124.4761955,47099601.7667533,50078486.1956996,51037897.0193586,51888451.7605673,55683993.1479182,58102616.7100994
Viet Nam,VNM,GDP per capita (current LCU),NY.GDP.PCAP.CN,..,..,..,..,..,..,..,..,..,..,..,1981.01543190656,9925.92048578747,46602.5211379374,245372.500597837,437944.839122578,640489.839545807,1146732.91297772,1619271.23213587,2015595.46476793,2519730.92253379,3176852.05567139,3718551.28502892,4225193.91860812,4794404.11815936,5242565.97271069,5724213.09373015,6172873.47013143,6801407.56213764,7710078.92196973,8903611.67309449,11271673.6380987,12919461.7211634,14907553.3541484,18973079.5328832,20924689.1435993,31328550.7753734,40012984.8750141,45511630.9670358,49392760.1288789,53850942.4639804,55926974.1825685,59993552.9867479,66128435.1361569,72830812.4418969,79313582.4010791,82019291.2276367,85788317.5089188,95793287.7748446,101859406.261054
